feature,coefficient,odds_ratio
insurance_status_Uninsured,0.8568558191206563,2.3557421577588253
region_West,0.5364815704812079,1.709979822062004
age,-0.482897669928044,0.6169929570769481
initial_supply_days,-0.3839772734447292,0.6811469071264759
therapy_class_Hypertension,-0.3765481884999848,0.6862260486860661
therapy_class_Diabetes (Type 2),-0.3440386678583737,0.7089015158161135
therapy_class_Hyperlipidemia,-0.27554291009792886,0.7591598557713726
avg_gap_days,-0.22356291971912035,0.7996645756141822
region_South,0.1844281723339788,1.2025306032161942
gender_M,0.07350799217070306,1.0762771384281324
region_North,0.07085608733296764,1.0734267350477265
therapy_class_Osteoporosis,-0.04842310061917085,0.9527306008822187
therapy_class_Depression/Anxiety,-0.036917513834204024,0.9637556285770282
region_East,-0.03688537064566002,0.963786607253782
